Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voice and Accountability: Standard Error,VA.STD.ERR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261457115,,0.276711345,,0.235382617,,0.218620956,0.20823285,0.208952919,0.204695717,0.158994168,0.141833067,0.14074792,0.144249067,0.140520051,0.140154198,0.136627778,0.127393872,0.137343496,0.136190057,0.131106317,0.132398114,0.139726549,0.130716026,0.129746586,0.128630742,0.127896503
Voice and Accountability: Number of Sources,VA.NO.SRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,5,,6,7,8,8,10,11,11,11,11,11,12,13,11,10,12,11,11,10,10,11,11
High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219805755,0.157456288,0.219185327,0.583987877,0.197533711,0.137101724,,
Export value index (2015 = 100),TX.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,6.264825613,5.430537475,3.877831849,3.208026887,2.946513114,2.412877232,2.753002858,5.02788534,6.934068832,7.16598298,6.662519272,7.257612185,11.80420113,14.2890573,15.49497199,17.24585189,20.1278961,21.02256498,20.85209545,18.56481006,23.76612289,30.15253816,38.5468971,51.21225537,76.24284649,70.0586686,74.69612898,82.85605193,95.20082412,79.05844742,94.51280779,126.2277859,104.7106116,91.2178892,88.99115193,100,94.90865755,110.6548614,131.5018956,114.4979101,95.60626807,114.5836294,
Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports),TX.VAL.MRCH.R6.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.61025816,53.47961961,44.05784245,19.57624104,44.73293311,51.65023233,54.71044813,64.43495179,84.14738239,50.02190958,75.33473102,46.41096426,48.63735371,78.1395004,23.16717408,31.67314138,52.27162355,34.17500832,40.69535437,45.08368408,44.02059303,,
Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports),TX.VAL.MRCH.R2.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000297655,0.000329279,0.000377681,0.000529677,0.005666627,0.001075679,0.021704608,0.000665284,,,,0.014050413,0.01273545,1.88E-05,0.012953384,0.00577106,,
Merchandise exports (current US$),TX.VAL.MRCH.CD.WT,4000000,4000000,5000000,5000000,6000000,7000000,6000000,6000000,5000000,7000000,6000000,4000000,8000000,13000000,14000000,12000000,17000000,14000000,32000000,45000000,58000000,50000000,37000000,31000000,29000000,23000000,26000000,47000000,64000000,66000000,62000000,67000000,109000000,133000000,143000000,160000000,187000000,196000000,194000000,172000000,220000000,280000000,358000000,476000000,708000000,651000000,718000000,830000000,884000000,734000000,878000000,1172000000,972000000,847000000,826000000,929000000,881000000,1028000000,1221000000,919000000,845000000,935000000,894000000
Insurance and financial services (% of commercial service exports),TX.VAL.INSF.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.728955357,-1.621898416,1.239253528,-0.139888507,-0.063759932,5.847340047,2.138599291,1.503728609,-0.374174585,0.015788738,3.521309149,-1.696107653,-2.38856102,-2.666722878,-3.246324809,0.051501434,-0.993919424,-7.508030119,-0.546611362,-0.236800309,1.400949065,3.164200116,1.481409603,5.27939181,5.099070419,0.156707652,0.152497175,0.080975457,0.052920284,0.107803858,0.112810692,0.114189334,0.241560001,0.177169255,0.234741784
Agricultural raw materials exports (% of merchandise exports),TX.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141483726,2.914438115,5.071883655,0.382401067,0.735820185,,,,3.393483758,3.598086848,5.541511017,3.605279217,6.039560634,2.160548686,3.108906364,6.540643991,5.654498963,5.964702871,2.2356105,4.592893602,5.632407788,5.665881595,
Net barter terms of trade index (2015 = 100),TT.PRI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,153.8324192,136.21802,125.087762,119.8016372,120.2934576,117.4293276,109.386223,74.84506595,118.6785758,117.4293276,117.4293276,104.1711777,118.391863,117.4293276,117.4293276,117.4293276,117.4293276,117.4293276,117.4293276,116.3215038,117.4293276,117.8006948,119.2261605,111.3607257,103.6502226,100.7547843,98.42809598,96.42698989,88.70538145,96.44714433,90.86147303,86.91554778,90.78662574,89.79918186,91.96706246,100,103.2776684,96.52940714,92.06839534,93.07453208,93.00131797,77.595431,
